title,subtitle,author,publisher,pub_date,discount_rate,sale_price,original_price,sales_index,review_count,rating,tags
된다! 하루 만에 끝내는 제미나이 활용법,"보고서, 이미지 생성 등 70가지 예제 수록! 노트북LM, 구글 AI 스튜디오, 나노 바나나를 한 권에!",권서림저,이지스퍼블리싱,2025년 11월,10,18000,20000,86646,70,9.8,"#분철, #AI, #AI사용법, #AI이미지, #AI활용콘텐츠"
요즘 바이브 코딩 안티그래비티 완벽 가이드,"구글 AI, 제미나이, 스티치, 프롬프트 엔지니어링, 인공지능 에이전트, RAG, 프론트엔드, PRD, TDD, 클린 아키텍처, 리팩터링, 챗봇, 블로그, 랜딩 페이지 더 빠르고 더 견고한 프로그램을 만드는 원리와 방법",최지호저,골든래빗,2026년 02월,10,25200,28000,30312,13,10.0,#분철
누구나 아는 나만 모르는 제미나이,"세상에서 가장 쉬운 제미나이 & AI 입문서 | Gemini, 구글 워크스페이스, Gems, 노트북LM, 나노바나나 프로, 구글 AI 스튜디오, Veo 3.1, 믹스보드",이성원저,한빛미디어,2026년 01월,10,17100,19000,22500,24,9.7,"#제미나이, #AI, #AI관련서, #생성형AI, #AI사용법"
"AI 시대의 질문력, 프롬프트 엔지니어링",,류한석저,코리아닷컴(Korea.com),2025년 08월,10,24300,27000,57786,45,9.5,"#분철, #클로드, #제미나이, #생성형AI, #챗GPT"
피지컬 AI 메가 트렌드,,"최홍섭,원미르저",위즈덤하우스,2026년 01월,10,20700,23000,12495,27,9.9,
"요즘 교사를 위한 에듀테크 5대장 : 캔바, 패들렛, 북크리에이터, 노션, 챗GPT∙제미나이","수업준비, 학급경영, 행정업무, 상담, 연수준비, 개인업무, 교사협업, 바이브코딩 어떻게 활용했고, 어떻게 활용할 수 있는지!","안익재,황의태저",앤써북,2025년 12월,10,17820,19800,18048,84,10.0,
요즘 바이브 코딩 클로드 코드 완벽 가이드,"요금제 선택, CLAUDE.md, Opus, Sonnet, 모델 선택, MCP, PRD, 깃허브 워크플로, UI 프로토타이핑, 인증 구현, 슬래시 커맨드, supabase 연동, 테스트, 배포, 슈퍼 클로드, ccusage, 클로디아 느낌이 좋은 프로그램",최지호저,골든래빗,2025년 09월,10,21600,24000,30162,18,8.4,"#크레마클럽에있어요, #분철, #클로드코드, #코딩AI, #코딩"
요즘 교사를 위한 AI 수업 활용 가이드 with 2022 개정 교육과정,"챗GPT부터 캔바, 구글 스프레드시트, API 연동까지","박진환,공지훈,서원진저",한빛미디어,2025년 05월,10,18000,20000,94698,65,9.8,"#에듀테크, #미래교육, #챗GPT, #인공지능"
된다! 하루 만에 끝내는 챗GPT 활용법,인공지능에게 일 시키고 시간 버는 법,프롬프트 크리에이터저,이지스퍼블리싱,2025년 06월,10,18000,20000,36996,98,9.4,"#크레마클럽에있어요, #분철"
AI 에이전트 엔지니어링,"단일 에이전트부터 멀티 에이전트 시스템까지, AI 앱 개발 올인원 가이드",마이클 알바다저/강민혁역,한빛미디어,2026년 01월,10,28800,32000,9222,4,10.0,
